postId,variantId,flavor,audienceTrack,articleUrl,generatedPost,voiceMatch,onTopic,hookStrength,compliance,complianceNotes,lengthChars,judgeRetries,judgeFlagged
0,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html,"As major economies diverge in 2024, which regions will drive global growth and which will hold it back? Our latest outlook examines the mixed picture ahead—and why the end of rate hikes may signal a pivotal moment for investors. https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html",5,5,5,pass,,310,0,False
0,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html,"Global growth is expected to average 2.9% in 2024, with diverging economies creating a mixed picture. The U.S., Japan and India show resilience, while Europe and China face headwinds. Our latest outlook explores what this means for your portfolio strategy. https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html",5,5,4,pass,,338,1,False
0,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html,"Global growth in 2024 won't be straightforward. While the U.S., Japan and India show surprising resilience, Europe and China are struggling. Our economists break down what this mixed picture means for your portfolio strategy. https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html",5,5,4,pass,,307,0,False
0,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html,"Global growth in 2024 will be mixed, with U.S. resilience offsetting weakness in Europe and China. Our economists break down what it means for your clients' portfolios. https://www.capitalgroup.com/advisor/insights/articles/2024-economic-outlook.html",5,5,4,pass,,250,0,False
90,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html,"Cloud software stocks have tumbled amid rate hike expectations and stretched valuations. But are we witnessing a long-term shift or temporary turbulence? Our analyst weighs in on where the software industry stands.

https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html",5,5,5,pass,,301,1,False
90,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html,"Cloud software stocks have plummeted 28.5% since November. But our equity analyst believes the industry's best days may still be ahead. Read why he remains positive on the long-term outlook.

https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html",5,5,5,pass,,277,1,False
90,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html,"Cloud software stocks have taken a beating lately, but our analyst sees it differently. Despite recent turbulence, he believes we're still in the early innings of the software transition. Read why he remains positive on the long-term outlook.

https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html",5,5,4,pass,,329,0,False
90,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html,"Cloud software stocks have tumbled, but the industry's long-term growth story remains intact. Our analyst explains why recent turbulence shouldn't overshadow the secular shift underway.

https://www.capitalgroup.com/advisor/insights/articles/cloud-software-turbulence.html",5,5,4,pass,,272,0,False
91,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,What truly gives your clients peace of mind in retirement? Our research reveals it goes beyond portfolio returns. Discover the three investor personalities and how understanding them can transform your client conversations. https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,5,5,5,pass,,311,0,False
91,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,87% of retirees say secure income is key to their peace of mind in retirement. Understanding three investor personalities can help you tailor conversations and better serve your clients. https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,5,5,5,pass,,274,1,False
91,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,What gives retirees real peace of mind may surprise you. Our research reveals it's not just about portfolio returns—secure income and understanding investor personalities matter more. Learn how to better engage clients with these insights. https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,5,5,5,pass,,327,0,False
91,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,What gives your clients peace of mind in retirement? Our research identifies three investor personalities and the secure income strategies that matter most to each. https://www.capitalgroup.com/advisor/insights/articles/ir-retirement-peace-of-mind.html,5,5,5,pass,,252,0,False
93,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html,"With bond markets down sharply, are there opportunities for income-focused investors? Our portfolio managers weigh in on navigating fixed income as rates rise. https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html",5,5,4,pass,,247,0,False
93,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html,"With bond markets down sharply, investors are asking: are there bargains in fixed income right now? Our portfolio managers weigh in on finding income opportunities as rates rise. https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html",5,5,5,pass,,266,0,False
93,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html,"With bond markets down sharply, investors are asking: is this a buying opportunity? Our portfolio managers weigh the risks and potential income benefits of fixed income as rates rise. https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html",5,5,5,pass,,271,0,False
93,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html,"Rising rates have battered bond markets, but lower prices may create income opportunities worth considering. Here's what our portfolio managers are thinking. https://www.capitalgroup.com/advisor/insights/articles/investing-income-rates-rise.html",5,5,4,pass,,245,0,False
96,1,question_hook,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,"As companies diversify their supply chains away from single sources, which regions and sectors stand to benefit most? https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html",4,4,4,pass,,255,1,False
96,2,stat_lead,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,Only 63 of 338 companies surveyed said they had plans to reshuffle their supply chains — suggesting the shift away from single-source reliance may unfold more deliberately than expected. https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html,4,5,4,pass,,324,0,False
96,3,contrarian,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,"Companies are reshoring manufacturing, but it's not de-globalization. It's a rewiring of global supply chains — and the investment opportunities may surprise you. https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html",5,5,5,pass,,300,1,False
96,4,theme_summary,content,https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html?sm_og_es_5812660283,Companies are reshoring manufacturing operations and rewiring global supply chains — creating investment opportunities across multiple sectors and geographies. https://www.capitalgroup.com/content/capital-group/us/en/advisor/home/insights/articles/reshoring-supply-chains-what-means-investors.html,5,5,4,pass,,297,0,False
97,1,question_hook,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,"Market volatility is testing investor resolve, but does it signal opportunity? Capital Group investment professionals share how current conditions may present chances to position portfolios for the next three to five years. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html",5,5,5,pass,,329,0,False
97,2,stat_lead,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,44% of stocks in the NASDAQ Composite were down 50% or more from their 52-week highs. But Capital Group portfolio managers see potential in today's market volatility. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,5,5,5,pass,,272,1,False
97,3,contrarian,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,"Market corrections can feel painful, but history suggests they may create opportunity for long-term investors. Our investment professionals share why current volatility doesn't necessarily mean trouble ahead. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html",5,5,5,pass,,314,1,False
97,4,theme_summary,institutional,https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,Market volatility can create opportunities for investors with long-term convictions. Capital Group investment professionals share their views on positioning portfolios amid Fed tightening and geopolitical uncertainty. https://www.capitalgroup.com/institutional/insights/articles/market-volatility-long-term-opportunity.html,5,5,4,pass,,323,0,False
99,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"What comes after the recession? Our economist expects a stronger-than-usual recovery, fueled by a healthy consumer sector and structural labor market shifts. Here's why:

https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html",5,5,4,pass,,287,1,False
99,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"A recession may be coming, but our economist expects the subsequent recovery could be stronger than usual. Here's why: a healthy consumer sector, solid household balance sheets and moderating inflation could fuel growth. https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html",5,5,4,pass,,337,1,False
99,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"While a recession may be coming, the real opportunity could lie in what comes next. Our economist explains why the subsequent recovery may be stronger than most expect. https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html",5,5,5,pass,,285,1,False
99,4,theme_summary,advisor,https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html,"While a recession may be coming, a stronger-than-expected recovery could follow. Our economist explains why a healthy consumer sector and tight labor market may fuel growth ahead. https://www.capitalgroup.com/advisor/insights/articles/why-next-economic-recovery-may-be-stronger-than-expected.html",5,5,4,pass,,296,0,False
104,1,question_hook,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,"Will the Fed pause rate hikes to assess banking sector damage, or keep rates higher to control inflation? Read what our economist expects for the second half of the year—and the recovery ahead. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html",5,5,5,pass,,283,0,False
104,2,stat_lead,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,"A mild recession is likely in the second half of 2023, with global economic growth expected to decline roughly 1% for the full year. But Capital Group's economist sees a fairly robust recovery ahead in 2024. Read the full outlook here. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html",5,5,4,pass,,325,0,False
104,3,contrarian,advisor,https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,A mild recession followed by strong growth? That's not the typical recession playbook. See what our economist expects for the global economy in the second half of 2023 and beyond. https://www.capitalgroup.com/advisor/insights/articles/2023-midyear-economic-outlook.html,5,5,5,pass,,269,0,False
